Index,"Region, subregion, country or area","Country
code",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
186,Netherlands,528,"   56,1","   58,0","   59,8","   60,8","   61,7","   63,2","   64,7","   66,7","   68,7","   72,8","   76,8","   82,6","   87,1","   90,2","   92,2","   93,7","   94,8","   95,5","   96,0","   96,3","   96,6"
187,Switzerland,756,"   67,4","   69,1","   70,9","   72,4","   73,8","   74,2","   74,5","   74,2","   73,9","   73,7","   73,4","   73,5","   73,6","   73,7","   73,9","   74,5","   75,4","   76,6","   78,1","   79,8","   81,4"
188,LATIN AMERICA AND THE CARIBBEAN,904,"   41,3","   45,3","   49,4","   53,5","   57,3","   61,0","   64,6","   67,8","   70,7","   73,2","   75,5","   77,1","   78,6","   79,9","   81,2","   82,4","   83,6","   84,7","   85,8","   86,9","   87,8"
189,Caribbean,915,"   36,3","   38,3","   40,4","   43,5","   46,6","   50,1","   53,3","   56,7","   59,6","   61,1","   62,8","   65,4","   67,8","   70,0","   72,2","   74,3","   76,2","   78,0","   79,7","   81,1","   82,5"
190,Anguilla,660,"   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0"
191,Antigua and Barbuda,28,"   30,1","   34,9","   39,7","   36,6","   33,8","   34,2","   34,6","   35,0","   35,4","   34,0","   32,1","   29,2","   26,2","   25,0","   24,4","   24,4","   24,8","   25,7","   27,2","   29,1","   31,0"
192,Aruba,533,"   50,9","   50,9","   50,8","   50,7","   50,6","   50,5","   50,5","   50,4","   50,3","   48,8","   46,7","   44,9","   43,1","   43,1","   43,7","   44,7","   46,2","   48,0","   50,2","   52,4","   54,6"
193,Bahamas,44,"   52,1","   55,9","   59,7","   63,3","   66,8","   70,0","   73,1","   76,7","   79,8","   81,0","   82,0","   82,2","   82,4","   82,7","   83,2","   83,9","   84,7","   85,7","   86,6","   87,6","   88,4"
194,Barbados,52,"   36,1","   36,4","   36,8","   37,1","   37,6","   38,9","   40,1","   38,7","   37,4","   35,6","   33,8","   32,8","   31,9","   31,2","   31,2","   31,7","   32,8","   34,5","   36,5","   38,6","   40,8"
195,British Virgin Islands,92,"   11,2","   11,7","   12,2","   14,3","   16,6","   19,5","   22,7","   29,7","   37,8","   40,4","   41,8","   43,2","   44,8","   46,6","   48,5","   50,6","   52,8","   55,0","   57,1","   59,3","   61,4"
196,Caribbean Netherlands,535,"   70,8","   72,6","   74,3","   75,9","   77,5","   78,4","   79,0","   78,4","   77,7","   76,4","   74,9","   74,8","   74,7","   74,8","   75,0","   75,6","   76,5","   77,6","   79,0","   80,3","   81,6"
197,Cayman Islands,136,"   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0"
198,Cuba,192,"   56,5","   57,5","   58,4","   59,3","   60,3","   64,2","   68,1","   70,9","   73,4","   74,3","   75,3","   76,1","   76,6","   76,9","   77,2","   77,8","   78,7","   79,9","   81,2","   82,7","   84,1"
199,Curaçao,531,"   70,6","   72,7","   74,7","   76,6","   78,4","   80,2","   81,8","   83,3","   84,7","   87,7","   90,8","   90,5","   89,9","   89,4","   89,1","   89,1","   89,3","   89,9","   90,6","   91,2","   91,9"
200,Dominica,212,"   34,7","   36,3","   37,8","   38,2","   38,7","   42,7","   46,8","   54,7","   63,1","   64,8","   65,3","   66,6","   68,1","   69,6","   71,1","   72,6","   74,2","   75,7","   77,2","   78,6","   80,0"
201,Dominican Republic,214,"   23,7","   26,8","   30,2","   35,1","   40,3","   45,7","   51,3","   53,9","   55,2","   57,6","   61,8","   67,4","   73,8","   78,6","   82,5","   85,5","   87,8","   89,4","   90,5","   91,3","   92,0"
202,Grenada,308,"   28,5","   29,4","   30,3","   31,3","   32,2","   32,6","   32,9","   33,2","   33,4","   34,5","   35,7","   35,9","   35,9","   36,0","   36,5","   37,5","   38,9","   40,7","   42,8","   45,1","   47,3"
203,Guadeloupe,312,"   35,8","   47,5","   59,4","   70,4","   79,4","   86,2","   91,0","   94,3","   96,4","   97,7","   98,4","   98,4","   98,4","   98,4","   98,5","   98,6","   98,7","   98,8","   98,9","   98,9","   99,0"
204,Haiti,332,"   12,2","   13,8","   15,6","   17,6","   19,8","   20,4","   20,5","   23,3","   28,5","   32,6","   35,6","   42,6","   47,5","   52,4","   57,1","   61,3","   64,9","   68,0","   70,6","   72,8","   74,9"
205,Jamaica,388,"   24,1","   28,7","   33,8","   37,5","   41,3","   44,0","   46,7","   48,4","   49,4","   50,6","   51,8","   52,8","   53,7","   54,8","   56,3","   58,2","   60,3","   62,8","   65,4","   68,0","   70,4"
206,Martinique,474,"   32,9","   33,6","   40,1","   50,0","   61,0","   71,2","   79,6","   83,8","   86,3","   88,4","   89,7","   89,3","   89,1","   89,0","   89,1","   89,5","   90,1","   90,8","   91,4","   92,1","   92,6"
207,Montserrat,500,"   15,8","   15,8","   15,8","   13,4","   11,4","   12,0","   12,5","   12,5","   12,5","   12,5","   2,1","   9,3","   9,2","   9,0","   9,1","   9,4","   9,9","   10,6","   11,5","   12,5","   13,5"
208,Puerto Rico,630,"   40,6","   42,4","   44,5","   51,5","   58,3","   62,8","   67,8","   84,3","   92,9","   93,7","   94,4","   94,1","   93,8","   93,6","   93,6","   93,7","   94,0","   94,4","   94,8","   95,3","   95,7"
209,Saint Kitts and Nevis,659,"   26,5","   27,0","   27,6","   30,9","   34,1","   35,0","   35,9","   35,2","   34,6","   33,7","   32,8","   32,0","   31,3","   30,8","   30,8","   31,4","   32,4","   34,0","   36,1","   38,2","   40,3"
210,Saint Lucia,662,"   19,2","   20,3","   21,5","   22,7","   23,9","   25,2","   26,5","   27,9","   29,3","   28,8","   27,8","   23,1","   18,5","   18,5","   18,8","   19,5","   20,4","   21,6","   23,2","   24,9","   26,6"
211,Saint Vincent and the Grenadines,670,"   21,7","   23,8","   25,9","   28,3","   30,7","   33,2","   35,9","   38,6","   41,4","   43,4","   45,2","   47,0","   49,0","   51,0","   53,0","   55,2","   57,3","   59,4","   61,5","   63,5","   65,5"
212,Sint Maarten (Dutch part),534,"   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0"
